Iteracion,MSE
1,27.673627008135565
2,27.67362815247575
3,27.67362929674883
4,27.67363044095481
5,27.673631585093734
6,27.673632729165558
7,27.67363387317027
8,27.673635017107966
9,27.67363616097861
10,27.67363730478215
11,27.673638448518663
12,27.67363959218815
13,27.673640735790585
14,27.673641879326
15,27.673643022794373
16,27.673644166195736
17,27.673645309530123
18,27.673646452797477
19,27.673647595997853
20,27.6736487391312
21,27.67364988219762
22,27.67365102519704
23,27.6736521681295
24,27.67365331099496
25,27.673654453793496
26,27.673655596525066
27,27.67365673918971
28,27.673657881787406
29,27.673659024318145
30,27.67366016678201
31,27.673661309178907
32,27.67366245150892
33,27.67366359377202
34,27.67366473596822
35,27.67366587809754
36,27.673667020159982
37,27.6736681621555
38,27.673669304084186
39,27.67367044594601
40,27.673671587740955
41,27.67367272946903
42,27.673673871130273
43,27.673675012724694
44,27.67367615425226
45,27.673677295712977
46,27.67367843710691
47,27.673679578434015
48,27.67368071969429
49,27.673681860887786
50,27.67368300201451
51,27.67368414307441
52,27.673685284067524
53,27.673686424993875
54,27.673687565853452
55,27.673688706646278
56,27.67368984737234
57,27.673690988031623
58,27.673692128624207
59,27.673693269150025
60,27.67369440960911
61,27.67369555000149
62,27.673696690327137
63,27.673697830586093
64,27.67369897077828
65,27.673700110903823
66,27.673701250962658
67,27.673702390954784
68,27.67370353088026
69,27.67370467073908
70,27.673705810531235
71,27.673706950256665
72,27.673708089915486
73,27.67370922950768
74,27.673710369033184
75,27.6737115084921
76,27.67371264788438
77,27.67371378720999
78,27.673714926469014
79,27.673716065661427
80,27.673717204787255
81,27.67371834384646
82,27.673719482839058
83,27.673720621765113
84,27.673721760624588
85,27.673722899417488
86,27.673724038143778
87,27.673725176803543
88,27.67372631539679
89,27.673727453923455
90,27.673728592383576
91,27.67372973077719
92,27.67373086910428
93,27.673732007364812
94,27.67373314555887
95,27.673734283686393
96,27.67373542174743
97,27.673736559741958
98,27.673737697670028
99,27.673738835531587
100,27.673739973326644
101,27.673741111055325
102,27.67374224871749
103,27.673743386313188
104,27.67374452384247
105,27.673745661305258
106,27.673746798701657
107,27.673747936031585
108,27.673749073295095
109,27.673750210492244
110,27.673751347622918
111,27.673752484687217
112,27.673753621685126
113,27.673754758616578
114,27.673755895481715
115,27.67375703228045
116,27.673758169012817
117,27.67375930567882
118,27.673760442278454
119,27.673761578811725
120,27.673762715278706
121,27.673763851679272
122,27.673764988013552
123,27.673766124281453
124,27.6737672604831
125,27.673768396618396
126,27.673769532687384
127,27.673770668690032
128,27.673771804626444
129,27.673772940496544
130,27.67377407630037
131,27.673775212037896
132,27.67377634770914
133,27.673777483314144
134,27.673778618852907
135,27.673779754325384
136,27.67378088973165
137,27.67378202507165
138,27.673783160345447
139,27.67378429555297
140,27.6737854306943
141,27.67378656576944
142,27.673787700778362
143,27.673788835721055
144,27.673789970597586
145,27.673791105407894
146,27.673792240152043
147,27.67379337483
148,27.673794509441816
149,27.67379564398746
150,27.67379677846692
151,27.673797912880225
152,27.673799047227444
153,27.673800181508508
154,27.67380131572343
155,27.67380244987221
156,27.673803583954875
157,27.673804717971464
158,27.673805851921927
159,27.673806985806266
160,27.67380811962454
161,27.67380925337674
162,27.673810387062826
